800,8,Win,Fail
1,0,0,0,9,1,0,2,"['240', '18']","['29', '18']","['63', '18']","['64', '18']","['1', '18']",1
0,1,0,1,3,0,1,4,"['54', '18']","['99', '18']","['236', '18']","['107', '18']","['238', '18']",0
0,0,0,1,7,1,0,2,"['222', '17']","['63', '17']","['24', '18']","['150', '17']","['238', '18']",0
0,0,0,0,7,0,1,1,"['21', '18']","['99', '18']","['103', '18']","['122', '18']","['141', '18']",0
1,1,1,0,11,6,1,3,"['143', '18']","['96', '18']","['157', '18']","['134', '18']","['50', '18']",1
0,1,0,0,8,0,0,1,"['254', '18']","['497', '18']","['15', '18']","['163', '18']","['126', '18']",0
1,1,1,0,11,10,2,5,"['69', '18']","['64', '18']","['126', '18']","['29', '18']","['53', '18']",1
0,0,1,1,10,4,0,4,"['91', '18']","['57', '18']","['67', '18']","['16', '18']","['28', '18']",1
1,1,1,1,8,2,0,2,"['14', '18']","['498', '17']","['121', '17']","['497', '16']","['55', '18']",0
0,0,1,0,10,3,2,2,"['4', '18']","['77', '18']","['12', '18']","['22', '18']","['80', '18']",1
0,1,0,1,5,0,1,3,"['81', '18']","['19', '18']","['21', '18']","['63', '18']","['86', '18']",0
0,0,0,0,3,0,1,0,"['201', '17']","['4', '18']","['238', '18']","['64', '17']","['222', '18']",0
0,1,0,1,6,0,0,1,"['14', '18']","['55', '18']","['18', '9']","['114', '18']","['141', '18']",0
0,0,0,1,5,1,0,2,"['29', '18']","['79', '17']","['432', '18']","['127', '17']","['420', '18']",0
0,1,1,0,8,4,1,2,"['19', '17']","['75', '18']","['99', '16']","['45', '18']","['67', '17']",0
0,1,0,1,6,0,1,4,"['11', '15']","['105', '18']","['92', '18']","['89', '18']","['96', '18']",0
0,1,1,1,11,5,1,3,"['75', '18']","['238', '18']","['31', '18']","['18', '18']","['143', '17']",1
1,1,1,0,8,3,0,2,"['26', '17']","['112', '18']","['18', '18']","['20', '17']","['126', '18']",0
1,1,1,1,10,6,1,3,"['6', '18']","['5', '18']","['245', '18']","['236', '18']","['267', '18']",0
1,1,1,0,11,3,1,3,"['21', '18']","['25', '18']","['33', '18']","['45', '18']","['27', '18']",1
1,0,1,1,10,2,1,1,"['101', '18']","['58', '17']","['51', '17']","['19', '18']","['40', '16']",1
0,1,1,0,8,2,1,2,"['34', '17']","['14', '18']","['53', '15']","['18', '18']","['19', '17']",0
1,1,0,1,8,1,1,5,"['1', '17']","['110', '18']","['113', '17']","['201', '16']","['80', '18']",1
1,1,1,0,7,1,1,2,"['202', '18']","['113', '18']","['157', '18']","['63', '16']","['57', '17']",1
0,1,0,0,5,0,0,0,"['79', '17']","['37', '18']","['96', '18']","['516', '18']","['134', '18']",0
0,0,1,1,10,2,0,3,"['412', '17']","['161', '17']","['18', '18']","['32', '17']","['8', '18']",1
0,0,0,0,11,3,1,3,"['29', '18']","['63', '17']","['75', '18']","['1', '17']","['164', '17']",1
